"","Taccop","Cowl of Naaru Blessings","Necklace of Necropsy","Shoulderpads of Faith","Cloak of Suturing","Hallowed Garments","Bands of Indwelling","Gloves of Saintly Blessings","Cincture of Will","Pantaloons of Repentance","Boots of the Pious","Ring of Faith","Violet Signet","Rejuvenating Gem","Essence of the Martyr","Crystalheart Pulse-Staff","","Soul-Wand of the Aldor"
"","Willijem","Helm of the Claw","Choker of Vile Intent","Wastewalker Shoulderpads","Vengeance Wrap","Netherblade Chestpiece","Spymistress' Wristguards","Wastewalker Gloves","Belt of Never-Ending Agony","Netherblade Breeches","Fel Leather Boots","Bonescythe Ring","Band of Unnatural Forces","Bloodlust Brooch","Mark of the Champion","Vindicator's Brand","Latro's Shifting Sword","Mama's Insurance"
"","Brandø","Storm Master's Helmet","Chain of the Twilight Owl","Pauldrons of Wild Magic","Shawl of Shifting Probabilities","Netherstrike Breastplate","Netherstrike Bracers","Handwraps of Flowing Thought","Netherstrike Belt","Spellstrike Pants","Sigil-Laced Boots","Ring of Unrelenting Storms","Ring of Recurrence","Mark of the Champion","Icon of the Silver Crescent","Nathrezim Mindblade","Mazthoril Honor Shield","Totem of the Void"
"","Gexiis","Cyclone Headdress","Natasha's Guardian Cord","Dragon-Quake Shoulderguards","White Remedy Cape","Windhawk Hauberk","Whirlwind Bracers","Cryo-Mitts","Belt of Gale Force","Pontifex Kilt","Jeweled Boots of Sanctification","Ring of Fabled Hope","Jade Ring of the Everliving","Essence of the Martyr","Scarab of the Infinite Cycle","Shockwave Truncheon","Windcaller's Orb","Totem of Healing Rains"
"","Ohkami","Helm of the Claw","Braided Eternium Chain","Mantle of Perenolde","Vengeance Wrap","Primalstrike Vest","Primalstrike Bracers","Cyclone Gauntlets","Primalstrike Belt","Shattrath Leggings","Fiend Slayer Boots","Averinn's Ring of Slaying","Violet Signet","Bladefist's Breadth","Core of Ar'kelos","The Decapitator","High Warlord's Cleaver","Totem of Rage"
"","Sedroc","Storm Master's Helmet","Chain of the Twilight Owl","Pauldrons of Wild Magic","Shawl of Shifting Probabilities","Netherstrike Breastplate","Netherstrike Bracers","Mana-Etched Gloves","Netherstrike Belt","Stormsong Kilt","Boots of Foretelling","Ring of the Fallen God","Ring of Unrelenting Storms","Icon of the Silver Crescent","The Lightning Capacitor","Gavel of Unearthed Secrets","Mazthoril Honor Shield","Totem of the Void"
"","Shockholic","Helm of the Claw","Braided Eternium Chain","Cyclone Shoulderplates","Cloak of the Inciter","Laughing Skull Battle-Harness","Ravager's Wrist-Wraps","Cyclone Gauntlets","Girdle of the Prowler","Clefthoof Hide Leggings","Fel Leather Boots","Ring of a Thousand Marks","Garona's Signet Ring","Bladefist's Breadth","Hourglass of the Unraveller","The Decapitator","High Warlord's Cleaver","Totem of the Astral Winds"
"","Unimog","Watcher's Cowl","Necklace of Necropsy","Dragon-Quake Shoulderguards","Avian Cloak of Feathers","Earthblood Chestguard","Bracers of Ten Storms","Mitts of the Treemender","Cincture of Will","Hallowed Trousers","Jeweled Boots of Sanctification","Ancestral Band","Violet Signet","Scarab of the Infinite Cycle","Rejuvenating Gem","Hammer of the Twisting Nether","Shield of Condemnation","Totem of Healing Rains"
"","Exitùs","Voidheart Crown","Adornment of Stolen Souls","Mana-Etched Spaulders","Cloak of the Necropolis","Robe of the Crimson Order","Crimson Bracers of Gloom","Mana-Etched Gloves","Girdle of Ruination","Spellstrike Pants","Frozen Shadoweave Boots","Ring of the Fallen God","Ashyen's Gift","Icon of the Silver Crescent","Quagmirran's Eye","Stormcaller","Orb of the Soul-Eater","Tirisfal Wand of Ascendancy"
"","Gemli","Voidheart Crown","Brooch of Heightened Potential","Mana-Etched Spaulders","Cloak of the Necropolis","Voidheart Robe","Bracers of Havok","Mana-Etched Gloves","Girdle of Ruination","Spellstrike Pants","Frozen Shadoweave Boots","Ring of Cryptic Dreams","Ring of the Fallen God","Icon of the Silver Crescent","Quagmirran's Eye","Atiesh, Greatstaff of the Guardian","","Tirisfal Wand of Ascendancy"
"","Zyparius","Voidheart Crown","Brooch of Heightened Potential","Frozen Shadoweave Shoulders","Ruby Drape of the Mysticant","Voidheart Robe","Bracers of Havok","Gloves of Pandemonium","Girdle of Ruination","Spellstrike Pants","Frozen Shadoweave Boots","Band of Crimson Fury","Violet Signet of the Archmage","Icon of the Silver Crescent","Quagmirran's Eye","Stormcaller","Khadgar's Knapsack","Tirisfal Wand of Ascendancy"
"","Executive","Mask of the Deceiver","Natasha's Choker","Warbringer Shoulderplates","Cloak of the Inciter","Chestguard of Exile","General's Plate Bracers","Gauntlets of Annihilation","Deathforge Girdle","Midnight Legguards","Fel Leather Boots","Band of Unnatural Forces","Ring of Arathi Warlords","Hourglass of the Unraveller","Bloodlust Brooch","Blinkstrike","The Hungering Cold","Mama's Insurance"
"","Skerrako","Warbringer Battle-Helm","Mithril Chain of Heroism","Ragesteel Shoulders","Shroud of Frenzy","Ragesteel Breastplate","General's Plate Bracers","Grips of Deftness","Belt of Never-Ending Agony","Midnight Legguards","Fel Leather Boots","Ring of a Thousand Marks","Mithril Band of the Unscarred","Badge of the Swarmguard","Bloodlust Brooch","Dragonmaw","Emerald Ripper","Mama's Insurance"
