"","⌀ = average buffs per drum","start - end (optional) # of battle drums","# of war drums","title  zone  date  # of restoration drums","geilster raid (Gruul's Lair in 0:25:43, Magtheridon's Lair in 0:07:34) Gruul's Lair March 30, 2026 17:45:58 # of drums on Tinnitus","# of drums total","buffs per drum (⌀)","weighted score",""
"","Brandø","3 (⌀ 2.33)","","","","3","2.33","7",""
"","Gexiis","2 (⌀ 2.5)","","","","2","2.5","5",""
"","Ohkami","4 (⌀ 3.75)","","","","4","3.75","15",""
"","Shockholic","3 (⌀ 4.67)","","","","3","4.67","14",""
